,theta,avg_cost,max_cost,std_cost,cost_skewness,solver_obj,violations_rate,violations_penalty,pds_lat,wds_lat,T1,T2,B0,reliability,penalized_avg_obj
0,0.5,131008.29370215556,139142.13709114864,2203.6953793175817,0.13057505380850218,134012.35166687684,0.528,42206.1034990473,0,0,321,335,0,0.472,173214.39720120287
1,0.5,131008.29370215556,139142.13709114864,2203.6953793175817,0.13057505380850218,134012.35166687684,0.528,42206.1034990473,0,0,321,335,0,0.472,173214.39720120287
2,0.5,131071.68086761562,139105.2680601877,2194.0088789042234,0.1255296308182883,134079.60698273368,0.603,74306.86330538601,0,2,390,344,0,0.397,205378.54417300163
3,0.5,131141.73484639,139068.82039725204,2184.9710080828913,0.11867807936386876,134139.63219053572,0.569,97473.12764982591,0,4,371,319,0,0.43100000000000005,228614.8624962159
4,0.5,131201.42472800973,139070.11725835621,2171.0129449757715,0.11494772711013182,134195.18350766372,0.571,119258.48658471946,0,6,377,311,0,0.42900000000000005,250459.91131272918
5,0.5,131248.7744804536,138801.6573633177,2147.311910643245,0.11453373099328483,134242.71223774712,0.592,140009.48506890918,0,8,414,296,0,0.40800000000000003,271258.2595493628
6,0.5,131280.00708273458,139141.8793470743,2140.485464267771,0.13324646923177144,134283.48492028847,0.568,160559.55587310682,0,10,372,305,0,0.43200000000000005,291839.5629558414
7,0.5,131324.05347707146,138798.35373199856,2121.468924766961,0.14918447482218367,134319.80710049093,0.61,173938.2473115236,0,12,436,309,0,0.39,305262.30078859505
8,0.5,131015.48475459975,139109.79379159864,2207.446336588166,0.13001954469987398,134025.39250115486,0.507,42321.12175856854,2,0,301,322,0,0.493,173336.60651316828
9,0.5,131094.98330498915,139064.15874982346,2183.614794361014,0.129723809160668,134107.44613957172,0.534,76315.62497966381,2,2,312,340,0,0.46599999999999997,207410.60828465296
10,0.5,131152.59070977537,139038.63922537796,2183.6591312003475,0.12261071734345086,134159.66930828898,0.556,98171.7852043599,2,4,352,321,0,0.44399999999999995,229324.37591413525
11,0.5,131209.2588379698,139035.7442202925,2174.2100318191315,0.11627421498084248,134212.22907769665,0.522,119659.21234427587,2,6,307,308,0,0.478,250868.47118224567
12,0.5,131256.15928100602,138959.9133333263,2155.1853535601103,0.11580178626658327,134258.16350030637,0.548,140283.2230285497,2,8,348,302,0,0.45199999999999996,271539.3823095557
13,0.5,131287.24430264297,139310.5207519102,2150.279982372917,0.1335945331827911,134298.1427989421,0.582,164367.54297560157,2,10,398,307,0,0.41800000000000004,295654.7872782445
14,0.5,131330.98425660754,138998.81988541078,2133.9440388751073,0.14948466370345284,134333.93502785088,0.718,174152.37661464984,2,12,591,305,0,0.28200000000000003,305483.3608712574
15,0.5,131017.50963387867,139075.36780090432,2210.0351220975826,0.12854627171288935,134030.81597874794,0.508,42427.14059228948,4,0,300,323,0,0.492,173444.65022616816
16,0.5,131096.8372979786,139034.61106697624,2187.7682964867436,0.12865919749594906,134112.81359453526,0.521,76329.89533125109,4,2,302,330,0,0.479,207426.7326292297
17,0.5,131168.17086333418,138996.99602202408,2172.665629629627,0.12862011462810216,134178.70845808004,0.583,100542.84497672005,4,4,386,331,0,0.41700000000000004,231711.01584005423
18,0.5,131214.1595814602,138951.40084852505,2169.825625808777,0.11924499964339752,134223.9027070589,0.657,120351.93291042862,4,6,421,402,0,0.34299999999999997,251566.09249188882
19,0.5,131259.11692701088,139023.64944482406,2156.1278810245476,0.11705373917288579,134267.18192063927,0.535,140313.79283893807,4,8,330,299,0,0.46499999999999997,271572.90976594895
20,0.5,131290.02166298003,139362.63260273758,2153.7376882343265,0.13364162295602944,134305.7518494383,0.56,161902.23522324604,4,10,346,322,0,0.43999999999999995,293192.25688622607
21,0.5,131332.62857581486,139040.881363704,2139.1929310121436,0.1482896684504682,134340.80435837898,0.58,174740.02001499612,4,12,381,325,0,0.42000000000000004,306072.64859081095
22,0.5,131018.02537032112,139074.13838402316,2210.171236697247,0.12893521231985208,134031.9420858856,0.509,42437.476202196565,6,0,300,324,0,0.491,173455.50157251768
23,0.5,131097.27427554847,139032.85023756133,2188.1642709455105,0.12954994997181457,134113.91368834602,0.526,76310.78396102006,6,2,308,329,0,0.474,207408.05823656853
24,0.5,131168.70310732495,138993.1525297554,2173.2145979679353,0.12953301598672415,134179.80267213067,0.521,100500.71825952624,6,4,313,318,0,0.479,231669.4213668512
25,0.5,131225.19188970557,138951.71805696763,2153.509109720122,0.12608378467474668,134236.85143032914,0.54,122993.81334545974,6,6,332,316,0,0.45999999999999996,254219.0052351653
26,0.5,131262.6535663044,139037.08822948483,2148.74886537089,0.12162819666370846,134273.99002112274,0.594,141139.74719094334,6,8,388,329,0,0.406,272402.4007572477
27,0.5,131292.32257339623,139347.19331158104,2148.710777764227,0.13538342891948385,134310.32665712494,0.66,161844.0060863876,6,10,335,464,0,0.33999999999999997,293136.3286597838
28,0.5,131333.43462104443,139056.3731110851,2136.763170914285,0.14895022259440613,134344.12873576197,0.623,177794.91926374208,6,12,396,373,0,0.377,309128.3538847865
29,0.5,131018.05097420927,139078.0383075155,2209.141346619377,0.12921081451413008,134032.10620465665,0.51,42503.78632175816,8,0,301,327,0,0.49,173521.83729596745
30,0.5,131097.2880695561,139038.3761647459,2186.377256224006,0.12999589175377393,134114.10196329775,0.528,76355.85012868175,8,2,311,332,0,0.472,207453.13819823784
31,0.5,131168.73787225664,139000.4894514401,2170.9183030642407,0.12992396594310818,134180.0129815578,0.527,100636.0843046284,8,4,316,320,0,0.473,231804.82217688503
32,0.5,131225.30433645006,138949.77102989054,2150.773093460112,0.12651687072823772,134237.0908875837,0.56,123122.74846337452,8,6,315,363,0,0.43999999999999995,254348.05279982457
33,0.5,131272.97848384563,139051.05519054178,2133.3282933201253,0.12714874972694137,134284.40137942755,0.634,144074.96189552656,8,8,339,424,1,0.366,275347.9403793722
34,0.5,131296.56214450198,139312.98912193073,2137.1013918664958,0.13637147258860147,134315.73847162892,0.582,162720.6924487222,8,10,343,355,0,0.41800000000000004,294017.25459322415
35,0.5,131334.39806487618,139067.68225797746,2128.3653022344947,0.14816132844094151,134347.5943207689,0.585,175888.9090505748,8,12,344,366,0,0.41500000000000004,307223.30711545097
36,0.5,131018.47587668193,139078.57749525254,2207.4411190408705,0.1299387695098427,134032.55746590975,0.513,42384.81289500903,10,0,302,331,0,0.487,173403.28877169098
37,0.5,131097.7634274321,139035.248623032,2183.5365297404983,0.13060574090199004,134114.59679656342,0.524,76220.13651814996,10,2,309,330,0,0.476,207317.89994558206
38,0.5,131169.26404918145,138996.10909767868,2167.060111140868,0.1307250396517366,134180.53782754586,0.523,100495.81578885493,10,4,317,318,0,0.477,231665.07983803638
39,0.5,131225.7424598837,138935.08022342343,2146.107094692125,0.12731773923586662,134237.63607659604,0.537,122975.28133120161,10,6,312,333,0,0.46299999999999997,254201.02379108532
40,0.5,131273.442821346,139033.80672926526,2128.131923778718,0.12780840621744768,134284.98899414742,0.69,143887.85226056626,10,8,334,502,0,0.31000000000000005,275161.29508191225
41,0.5,131308.1729808415,139216.04228643537,2118.776811169012,0.13853480421171432,134325.1135427271,0.636,164716.48376849724,10,10,389,403,0,0.364,296024.6567493387
42,0.5,131337.08746804995,139077.447526966,2116.7354352840084,0.1452049991505325,134352.65738877666,0.668,176071.34292327138,10,12,445,389,0,0.33199999999999996,307408.4303913213
43,0.5,131018.82383148446,139073.81074827863,2204.9430812095825,0.12971100328644247,134033.17662502977,0.512,42337.1032983977,12,0,304,326,0,0.488,173355.92712988215
44,0.5,131098.10751660567,139025.7582013521,2179.705499919768,0.13014355381010953,134115.25207741713,0.526,76244.77037776451,12,2,310,329,0,0.474,207342.87789437018
45,0.5,131169.73167904612,138979.2064952678,2162.300918230453,0.13017896965118292,134181.25007015842,0.522,100579.51416431941,12,4,315,318,0,0.478,231749.24584336553
46,0.5,131226.18589700141,138892.78762813963,2140.3461375739735,0.12661550415796718,134238.33714343962,0.55,123019.8667289587,12,6,309,349,0,0.44999999999999996,254246.05262596012
47,0.5,131273.95324310783,138995.946158993,2121.712026362792,0.1273339971625209,134285.7062325458,0.576,143921.256471652,12,8,335,353,0,0.42400000000000004,275195.20971475984
48,0.5,131308.8284761456,139167.18607788725,2111.737948472912,0.13806528950457467,134325.8498848181,0.554,164760.3820481927,12,10,348,312,0,0.44599999999999995,296069.2105243383
49,0.5,131344.68379692093,139137.12889586407,2101.6848860669506,0.1378370315315263,134361.0186837151,0.624,178363.22733113827,12,12,436,325,0,0.376,309707.9111280592
50,1.0,132377.44224193087,139869.95171960024,2041.8326194158512,0.10470039991615784,139788.0046134188,0.312,18715.288766836766,0,0,182,166,0,0.688,151092.73100876765
51,1.0,132377.44224193087,139869.95171960024,2041.8326194158512,0.10470039991615784,139788.0046134188,0.312,18715.288766836766,0,0,182,166,0,0.688,151092.73100876765
52,1.0,132513.23791939995,139948.03637815313,2037.8932258352067,0.1025611725601755,139922.5146949306,0.303,33243.46319525958,0,2,162,180,0,0.6970000000000001,165756.70111465955
53,1.0,132649.25140908037,139978.5691985062,2032.4347467665273,0.09566839014132218,140042.5577907106,0.317,43046.80609320459,0,4,167,179,0,0.683,175696.05750228497
54,1.0,132769.92789643625,140051.30799128133,2020.8031452925095,0.09116532900141888,140153.66584945377,0.328,52107.53797249097,0,6,194,163,0,0.6719999999999999,184877.46586892722
55,1.0,132869.24990280892,139731.55122119858,1998.4163757319893,0.09193622438968914,140248.71808161866,0.329,60764.89337023806,0,8,208,158,0,0.671,193634.143273047
56,1.0,132944.9061994455,140131.4891352633,1991.7936603142766,0.11124003395297852,140330.26145395383,0.364,70839.27074072254,0,10,234,175,0,0.636,203784.17694016805
57,1.0,133028.8729341488,139822.3938025954,1973.393961027667,0.13026437152723336,140402.8890196201,0.349,72804.04811297175,0,12,206,177,0,0.651,205832.92104712053
58,1.0,132387.10563567196,139885.04104966015,2046.1053569007631,0.1041847688151773,139814.086911412,0.31,18783.870050177247,2,0,180,168,0,0.69,151170.9756858492
59,1.0,132553.56103648207,139955.8983160556,2024.2374149183831,0.10531987774912813,139978.18943565956,0.306,34187.765070355206,2,2,163,183,0,0.694,166741.32610683728
60,1.0,132666.50667859876,139990.30761422138,2029.229757638255,0.09825801698406379,140082.63413547014,0.312,42898.56638513101,2,4,166,175,0,0.688,175565.07306372977
61,1.0,132782.0918462088,140068.1659501086,2023.1158569887182,0.09234314877984853,140187.72449012,0.315,52118.77521641247,2,6,182,162,0,0.685,184900.86706262126
62,1.0,132879.98066759508,139899.79590916896,2005.5400842304166,0.09219577441428742,140279.6209337359,0.315,60726.77033078958,2,8,188,157,0,0.685,193606.75099838467
63,1.0,132955.08114354138,140294.9073340352,2001.2883508833806,0.11065444668931829,140359.57862237666,0.341,70287.90486696776,2,10,204,172,0,0.659,203242.98601050914
64,1.0,133038.18720936347,139984.10668780206,1984.8089761696313,0.12857630585872637,140431.1726375394,0.327,73136.50699105342,2,12,180,177,0,0.673,206174.6942004169
65,1.0,132390.375983335,139850.653749418,2048.2931370369733,0.10345587153384937,139824.92939767678,0.306,18836.18912268012,4,0,176,169,0,0.694,151226.5651060151
66,1.0,132556.782242766,139925.42194053018,2027.7694405137051,0.10466137754076152,139988.91668681032,0.306,34179.19727603884,4,2,163,182,0,0.694,166735.97951880484
67,1.0,132697.9221957681,139945.33744080528,2013.9040313822845,0.10340992135075433,140120.71621075764,0.304,43688.88187174042,4,4,162,172,0,0.696,176386.80406750852
68,1.0,132792.55815639585,139996.77042238385,2016.4196316453506,0.09513608467957194,140211.08798693508,0.317,52428.73035869034,4,6,180,166,0,0.683,185221.2885150862
69,1.0,132885.8029808299,139956.23606095562,2004.55429647864,0.09386931613056194,140297.66311164724,0.331,60722.711474779586,4,8,199,164,0,0.669,193608.5144556095
70,1.0,132959.93538281642,140337.1554661728,2003.3359499951107,0.11088242511178056,140374.80789268395,0.333,70317.91964789931,4,10,189,175,0,0.667,203277.85503071573
71,1.0,133041.82968607926,140043.49561828625,1988.9031184204944,0.12776836646575976,140444.92001226128,0.366,72746.78197314432,4,12,223,180,0,0.634,205788.61165922356
72,1.0,132391.26578526822,139839.02865529503,2048.6628941718304,0.10387482543685453,139827.1850835073,0.309,18804.828309360782,6,0,177,169,0,0.6910000000000001,151196.094094629
73,1.0,132557.76643133472,139913.51833946496,2028.3791325901132,0.10546303514461848,139991.14268889365,0.303,34176.23191320832,6,2,163,180,0,0.6970000000000001,166733.99834454304
74,1.0,132698.93913914647,139933.59073426528,2014.7631632573537,0.10444835514911154,140122.93640489472,0.305,43743.236978527355,6,4,161,174,0,0.6950000000000001,176442.17611767384
75,1.0,132817.09294324488,139860.72797006927,1997.5760051583134,0.10108017116536375,140237.00000965767,0.36,53041.06540303571,6,6,177,217,0,0.64,185858.15834628057
76,1.0,132893.5408231481,139982.47960715892,1995.5410517311605,0.0973936110485263,140311.2855726223,0.324,60985.326765625956,6,8,184,170,0,0.6759999999999999,193878.86758877407
77,1.0,132964.30374236664,140332.72179160727,1997.315615532486,0.11181401260743848,140383.9467216044,0.333,70265.74465500454,6,10,192,173,0,0.667,203230.0483973712
78,1.0,133043.89976871587,140068.05756117584,1985.7843411292988,0.12719695428968014,140451.54732224447,0.422,72841.78394772485,6,12,211,253,0,0.5780000000000001,205885.68371644072
79,1.0,132391.3066872554,139841.06383357238,2047.6220754927688,0.1041814265840905,139827.51233539317,0.308,18859.40654455114,8,0,177,170,0,0.692,151250.71323180653
80,1.0,132557.70381045536,139917.5959615967,2026.8059401334183,0.10594674612015609,139991.50396426435,0.308,34174.12684842826,8,2,163,184,0,0.692,166731.8306588836
81,1.0,132698.85119183286,139938.88766694543,2012.5211153650741,0.10514253410747536,140123.3194839715,0.306,43853.054353278785,8,4,163,174,0,0.694,176551.90554511163
82,1.0,132817.01556565583,139868.47494181167,1995.0020387976247,0.10191996733718905,140237.4620615069,0.311,53228.05919035373,8,6,174,167,0,0.6890000000000001,186045.07475600956
83,1.0,132915.32952390274,140004.24567872836,1978.4542699698413,0.10309801665136306,140332.10286921173,0.352,61992.67652649489,8,8,191,199,0,0.648,194908.00605039764
84,1.0,132972.07730861453,140301.8915223403,1984.862801468598,0.11253324417376474,140394.77688854188,0.396,70602.88949706152,8,10,214,232,0,0.604,203574.96680567606
85,1.0,133046.61814972872,140078.74143035515,1977.022420046609,0.12559181258658858,140458.49877639834,0.369,73498.18062465891,8,12,191,211,0,0.631,206544.79877438763
86,1.0,132391.77171955458,139841.35990431265,2045.9902085820563,0.10466764803554073,139828.42709001398,0.305,18798.976606346252,10,0,175,169,0,0.6950000000000001,151190.74832590084
87,1.0,132558.21569308187,139914.27400260817,2024.0395974436533,0.10621146358535799,139992.49305910585,0.304,34132.19397181277,10,2,159,184,0,0.696,166690.40966489463
88,1.0,132699.2946513397,139932.50511405943,2008.8394228238174,0.10533121835318165,140124.37573171168,0.307,43846.72318682223,10,4,163,175,0,0.6930000000000001,176546.01783816193
89,1.0,132817.51725712806,139857.2003371988,1990.6327063274377,0.1019851030410205,140238.578217147,0.313,53132.743192306996,10,6,173,170,0,0.687,185950.26044943504
90,1.0,132915.86047557098,139988.5823696182,1973.3425135230834,0.10333054709288832,140333.26855321456,0.309,61956.77649253273,10,8,177,163,0,0.6910000000000001,194872.6369681037
91,1.0,132994.52064782305,140214.36023645056,1965.5121513246652,0.11353186924567459,140413.52555642696,0.33,71137.49374671569,10,10,184,177,0,0.6699999999999999,204132.01439453874
92,1.0,133052.68550053344,140087.2020882567,1964.5742278473442,0.12138140896650004,140468.6175799583,0.374,73304.23831682553,10,12,217,197,0,0.626,206356.92381735897
93,1.0,132392.19498147146,139836.4090673677,2043.6210371385862,0.10435994142751584,139829.64523608173,0.307,18791.540303776856,12,0,178,167,0,0.6930000000000001,151183.73528524832
94,1.0,132558.676029514,139904.63675945153,2020.228873829017,0.1057777764665807,139993.7972378335,0.305,34250.67782716657,12,2,163,182,0,0.6950000000000001,166809.35385668057
95,1.0,132699.7403498453,139919.19045020538,2004.1152669449154,0.10465603621670892,140125.7327006976,0.307,43909.13175389793,12,4,165,173,0,0.6930000000000001,176608.87210374323
96,1.0,132817.98314551692,139847.197894781,1985.1318925244302,0.10137203891287994,140239.97462757348,0.308,53358.31583933809,12,6,172,165,0,0.692,186176.298984855
97,1.0,132916.36700818714,139948.0014953307,1967.2031699347972,0.10279518888222275,140334.70895029794,0.354,62156.726021230585,12,8,179,213,0,0.646,195073.09302941774
98,1.0,132995.08379255663,140171.29890398966,1958.761183652654,0.11296856160615945,140414.99844143502,0.327,71270.56973026303,12,10,177,183,0,0.673,204265.65352281966
99,1.0,133069.35033805866,140143.4407168263,1948.4680290401338,0.11212764505136992,140485.3304489346,0.326,74377.10868081216,12,12,178,175,0,0.6739999999999999,207446.45901887084
100,1.5,134017.81436189704,141033.86092951908,1938.3159193293482,0.06359579676804872,145563.6591699671,0.149,6794.479272710113,0,0,78,80,0,0.851,140812.29363460714
101,1.5,134017.81436189704,141033.86092951908,1938.3159193293482,0.06359579676804872,145563.6591699671,0.149,6794.479272710113,0,0,78,80,0,0.851,140812.29363460714
102,1.5,134224.84161436986,141182.7291890824,1938.6358846947273,0.06251431991089249,145765.42787888186,0.156,12961.787944017635,0,2,74,93,0,0.844,147186.6295583875
103,1.5,134426.01768634559,141330.410185526,1935.6872474604281,0.056870748033400156,145945.48947980965,0.147,14914.225375678692,0,4,74,79,0,0.853,149340.24306202427
104,1.5,134607.04406432415,141507.51917003363,1925.4811009983994,0.05305222447276782,146112.1469151688,0.143,18547.30131729857,0,6,78,76,0,0.857,153154.34538162273
105,1.5,134757.69663859552,141117.9217693218,1904.531867545587,0.05448960339540301,146254.72714604912,0.148,21179.536082055078,0,8,83,70,0,0.852,155937.2327206506
106,1.5,134877.81273874812,141571.6450200755,1898.2976598877353,0.07565061346043664,146377.04370844323,0.167,23356.577313241476,0,10,90,85,0,0.833,158234.39005198958
107,1.5,135000.9595516099,141286.0209905304,1880.20081122326,0.0965480267136936,146485.98897510936,0.163,21150.785524572784,0,12,93,78,0,0.837,156151.7450761827
108,1.5,134030.37211143321,141073.86956011705,1943.134457821065,0.06361420384517773,145602.76920872412,0.147,6828.283809272689,2,0,76,80,0,0.853,140858.6559207059
109,1.5,134283.73771565498,141209.8723525909,1923.2951868425835,0.06398352077682817,145848.93232727403,0.152,13289.48804400731,2,2,72,91,0,0.848,147573.22575966228
110,1.5,134450.9799629208,141368.5752671113,1930.9054861019413,0.05838079145407058,146005.60142022395,0.144,15263.615516741012,2,4,72,78,0,0.856,149714.5954796618
111,1.5,134624.3680435195,141547.3327025362,1926.8564493423112,0.05372043673785642,146163.2371225545,0.152,18632.40059534562,2,6,84,79,0,0.848,153256.76863886512
112,1.5,134772.3596815924,141202.81665265938,1910.5353048090017,0.05405215333374608,146301.0839713571,0.151,21100.137869135542,2,8,88,69,0,0.849,155872.49755072795
113,1.5,134891.54070060074,141652.2319519727,1906.9048716251514,0.07451107123497815,146421.01790512522,0.166,23404.733335705045,2,10,90,84,0,0.834,158296.27403630578
114,1.5,135013.69140647736,141381.32333079533,1891.1843564829212,0.09483696492010085,146528.40667766385,0.165,21124.720134621763,2,12,92,82,0,0.835,156138.41154109914
115,1.5,134035.29399122755,141055.41898495157,1944.9366258525602,0.0635209162205942,145619.05011965125,0.148,6831.211453124639,4,0,76,81,0,0.852,140866.5054443522
116,1.5,134288.72395022292,141189.94495352247,1926.3781239471878,0.06388977849576323,145865.0152057087,0.151,13317.317093342266,4,2,73,89,0,0.849,147606.0410435652
117,1.5,134499.84239072478,141345.35397828062,1913.7239097151107,0.06166254392954189,146062.72383743068,0.134,15738.958924683222,4,4,62,77,0,0.866,150238.801315408
118,1.5,134640.86534607245,141498.02718787338,1918.6608214523728,0.055875672926848294,146198.30143252973,0.147,18808.618574333042,4,6,77,81,0,0.853,153449.4839204055
119,1.5,134781.70602554476,141256.41631154335,1908.4609989704313,0.05515741482616814,146328.1437239615,0.158,21019.730497526143,4,8,95,70,0,0.842,155801.4365230709
120,1.5,134898.90916440278,141690.76569473904,1907.5563505569155,0.07417473351991395,146443.84326614058,0.158,23437.79337697623,4,10,81,85,0,0.842,158336.70254137903
121,1.5,135019.47285289335,141437.19884881275,1894.2443815467936,0.09349084767014156,146549.0300151772,0.165,21093.611523542706,4,12,91,83,0,0.835,156113.08437643605
122,1.5,134036.3898264732,141039.7113380285,1944.8744148380467,0.06342824678838284,145622.42693790203,0.147,6785.4931175038455,6,0,77,79,0,0.853,140821.88294397705
123,1.5,134289.76866049616,141173.07946795685,1926.5200265453293,0.06417424224807852,145868.3431757116,0.155,13311.57745707731,6,2,74,92,0,0.845,147601.34611757347
124,1.5,134500.93828020012,141328.3005221134,1914.0180292081145,0.06208735431816272,146066.0048958511,0.136,15686.851136083333,6,4,62,79,0,0.864,150187.78941628346
125,1.5,134679.97666958845,141374.25842259693,1897.885401166882,0.06044115771198275,146237.15064934632,0.144,19102.068574801437,6,6,71,84,0,0.856,153782.04524438988
126,1.5,134794.12190921206,141271.3172653566,1898.0010795253236,0.05735470715784975,146348.56995280104,0.15,20970.987105518383,6,8,83,72,0,0.85,155765.10901473043
127,1.5,134905.6539142788,141675.02709785698,1900.679074439882,0.07403950495868901,146457.57017739132,0.157,23339.888510109726,6,10,80,85,0,0.843,158245.54242438852
128,1.5,135024.99133447223,141446.92048383993,1890.8943460366543,0.09412159098849783,146558.97929038855,0.15,21009.680153812318,6,12,78,81,0,0.85,156034.67148828454
129,1.5,134036.38757684306,141042.6274483506,1943.8756249675007,0.06355914621199663,145622.91626319927,0.149,6754.899295230531,8,0,76,82,0,0.851,140791.2868720736
130,1.5,134289.6652668247,141178.245149876,1924.9294483866659,0.06435909440692772,145868.77187674143,0.149,13314.857980078974,8,2,71,89,0,0.851,147604.52324690367
131,1.5,134500.92292356532,141334.8201222277,1911.9679849585737,0.062436857089715025,146066.62828939143,0.136,15723.54705542931,8,4,62,80,0,0.864,150224.46997899463
132,1.5,134679.88301213956,141381.861688118,1895.4588809267684,0.06099449849815372,146237.83715101157,0.144,19131.364928115396,8,6,70,85,0,0.856,153811.24794025495
133,1.5,134828.44701057245,141299.3674749111,1879.936632511074,0.06157624925128789,146379.80436296144,0.175,21380.41086187733,8,8,88,95,0,0.825,156208.8578724498
134,1.5,134917.6015449779,141644.79765489523,1887.4334841552904,0.0731539548759516,146473.81444325455,0.164,23352.452953797823,8,10,91,82,0,0.836,158270.05449877572
135,1.5,135027.43800158083,141457.07786027552,1880.8664061425986,0.08912328516905864,146569.3899500314,0.162,21143.958171557308,8,12,88,83,0,0.838,156171.39617313814
136,1.5,134036.89917381873,141043.61661013914,1942.35843249214,0.06393139987770943,145624.26970608035,0.147,6713.7281828870655,10,0,76,79,0,0.853,140750.6273567058
137,1.5,134290.26842278434,141176.07735173276,1922.3003970520008,0.0647737840584517,145870.39038392223,0.149,13251.292867347383,10,2,70,90,0,0.851,147541.56129013174
138,1.5,134501.3829801721,141329.91866858624,1908.4803394007777,0.06278811937704112,146068.21578083606,0.133,15634.39613411107,10,4,61,78,0,0.867,150135.77911428316
139,1.5,134680.43832320021,141374.63183057695,1891.2105484542478,0.06132107690477636,146239.50916495867,0.151,19027.556229738617,10,6,69,92,0,0.849,153707.99455293882
140,1.5,134828.9975186714,141285.96582545695,1875.175914783334,0.06193888513219992,146381.55091527032,0.15,21272.12471172772,10,8,76,81,0,0.85,156101.1222303991
141,1.5,134951.37401773327,141569.05112781434,1867.568431581692,0.07290076057822115,146501.91050767363,0.167,23420.524310843448,10,10,86,91,0,0.833,158371.8983285767
142,1.5,135037.31066484947,141469.66474790976,1868.1396899488602,0.08370696597700378,146584.573909301,0.152,21156.397648761144,10,12,78,83,0,0.848,156193.7083136106
143,1.5,134037.67143656858,141043.8849349218,1940.1428105811951,0.06397787764164682,145626.14791838764,0.152,6712.825300144283,12,0,78,82,0,0.848,140750.49673671287
144,1.5,134290.86923994325,141172.71265135473,1918.8449867202237,0.0646960947472377,145872.34299888858,0.15,13310.21849359843,12,2,71,90,0,0.85,147601.08773354167
145,1.5,134502.0402535833,141323.44706087594,1904.1212671639603,0.06254973887434821,146070.25343601356,0.135,15685.750299641768,12,4,61,80,0,0.865,150187.7905532251
146,1.5,134681.0966115569,141365.51915693007,1886.067676288236,0.06105816485352949,146241.61172243336,0.166,19060.32358279459,12,6,71,107,0,0.834,153741.42019435146
